5,2K,143,293.93,29785
10,1K,86,293.95,29785
15,844,52,294.10,29785
20,816,525,294.43,29533
25,433,264,294.62,29277
30,248,135,295.01,28765
35,154,62,295.38,28765
40,166,95,295.74,27741
45,137,61,296.00,27741
50,98,30,296.31,27741
55,146,78,296.69,27741
60,101,41,297.09,25693
65,100,27,297.34,25693
70,307,98,297.71,25693
75,197,53,298.02,25693
80,402,141,298.35,25693
85,230,65,298.76,25693
90,148,31,299.02,25693
95,108,80,299.48,25693
100,141,78,299.82,21597
105,100,39,300.18,21597
110,86,18,300.49,21597
115,95,21,300.86,21597
120,84,10,301.22,21597
125,72,5,301.56,21597
130,81,2,301.87,21597
135,86,11,302.18,21597
140,83,5,302.47,21597
145,72,2,302.94,21597
150,95,15,303.16,21597
155,88,7,303.55,21597
160,91,3,303.96,21597
165,99,1,304.28,21597
170,114,10,304.57,21597
175,85,4,304.92,21597
180,85,2,305.23,17501
185,86,13,305.55,17501
190,93,8,305.85,17501
195,86,3,306.27,17501
200,89,1,306.65,17501
205,91,10,306.95,17501
210,82,5,307.23,17501
215,76,3,307.54,17501
220,68,8,307.83,17501
225,83,9,308.20,17501
230,75,4,308.39,29786
235,91,12,308.38,29786
240,102,19,308.38,29786
245,94,11,308.37,29786
250,78,6,308.38,29786
255,75,2,308.39,29786
260,82,12,308.38,29786
265,75,5,308.37,29786
270,83,2,308.36,29786
275,93,13,308.36,29786
280,83,9,308.35,29786
285,73,4,308.35,29786
290,76,2,308.56,29786
295,75,5,308.59,29786
300,82,2,308.58,29786
305,72,1,308.58,29786
310,77,0,308.57,29786
315,79,10,308.56,29786
320,79,4,308.76,29786
325,69,1,308.82,29786
330,79,6,308.81,29786
335,72,3,308.80,29786
340,92,2,308.80,29786
345,80,1,308.79,29786
350,88,10,308.78,29786
355,80,4,308.88,29786
360,81,2,308.88,29786
365,86,4,308.87,29786
370,76,4,308.87,29786
375,77,2,308.86,29786
380,74,1,308.85,29786
385,89,11,308.84,29786
390,76,5,308.84,29786
395,86,2,308.83,29786
400,100,1,308.82,29786
405,97,3,308.82,29786
410,81,1,308.81,29786
415,75,0,308.80,29786
420,88,11,308.80,29786
425,82,5,308.79,29786
430,73,2,308.78,29786
435,72,4,308.77,29786
440,77,4,308.77,29786
445,74,2,308.76,29786
450,70,1,308.75,29786
455,73,7,308.75,29786
460,72,3,308.74,29786
465,68,1,308.73,29786
470,78,0,308.73,29786
475,67,0,308.72,29786
480,73,0,308.71,29786
485,69,3,308.70,29786
490,82,8,308.70,29786
495,71,4,308.69,29786
500,74,2,308.68,29786
505,67,1,308.68,29786
510,73,0,308.67,29786
515,66,12,308.66,29786
520,77,6,308.66,29786
525,85,10,308.65,29786
530,85,5,308.64,29786
535,78,2,308.63,29786
540,78,1,308.63,29786
545,77,0,308.62,29786
550,78,0,308.61,29786
555,79,0,308.61,29786
560,81,10,308.60,29786
565,77,4,308.59,29786
570,83,2,308.59,29786
575,78,1,308.60,29786
580,69,0,308.59,29786
585,99,0,308.59,29786
590,107,0,308.58,29785
595,104,6,308.57,29785
600,82,4,308.57,29785
605,80,1,308.63,29785
610,70,0,308.63,29785
615,75,0,308.62,29785
620,68,0,308.61,29785
625,78,0,308.61,29785
630,81,10,308.60,29785
635,82,4,308.59,29785
640,78,2,308.58,29785
645,73,1,308.58,29785
650,71,0,308.57,29785
655,65,0,308.56,29785
660,78,0,308.56,29785
665,80,7,308.55,29785
670,79,3,308.54,29785
675,71,1,308.54,29785
680,87,0,308.53,29785
685,87,0,308.52,29785
690,82,0,308.51,29785
695,76,0,308.51,29785
700,80,5,308.58,29785
705,79,2,308.57,29785
710,71,1,308.56,29785
715,68,0,308.56,29785
720,68,0,308.62,29785
725,72,0,308.62,29785
730,78,6,308.61,29785
735,87,4,308.60,29785
740,77,1,308.60,29785
745,82,1,308.59,29785
750,86,0,308.58,29785
755,80,0,308.57,29785
760,78,0,308.57,29785
765,84,0,308.56,29785
770,86,0,308.55,29785
775,297,0,308.54,29785
780,1K,0,308.53,29785
785,1K,0,308.53,29785
790,598,0,308.52,29785
795,599,3,308.61,29785
800,327,3,308.60,29785
805,205,1,308.60,29785
810,140,0,308.59,29785
815,136,0,308.58,29785
820,103,0,308.58,29785
825,87,0,308.57,29785
830,88,7,308.56,29785
835,92,3,308.55,29785
840,81,2,308.55,29785
845,75,1,308.54,29785
850,93,0,308.53,29785
855,76,0,308.53,29785
860,82,0,308.52,29785
865,91,8,308.51,29785
870,83,4,308.51,29785
875,75,2,308.50,29785
880,77,1,308.49,29785
885,88,0,308.49,29785
890,108,0,308.48,29785
895,113,0,308.47,29785
900,119,0,308.46,297
